"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2022-09-07","97.7","-1.77","5.83","Cole, Gerrit",570482,543037,,"foul",,,,,"5","Gio Urshela singles on a line drive to right fielder Oswaldo Cabrera.","R","R","R","NYY","MIN","S",,,"1","1",2022,"-0.92","1.39","0.26","2.65",,,,"2","6","Top",,,,,"624431",,,7.5980938882420395,-142.032470552702,-6.287630760255593,-14.15687834096175,31.291126131046358,-12.04726175305926,"3.44","1.63","257","76.9","36","97.9","2427","6.4",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.14",,,,,,,,"45","3","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","215","0","-0.024"
"FF","2022-09-07","97.2","-1.74","5.84","Cole, Gerrit",570482,543037,,"called_strike",,,,,"9","Gio Urshela singles on a line drive to right fielder Oswaldo Cabrera.","R","R","R","NYY","MIN","S",,,"1","0",2022,"-0.74","1.41","0.68","2.17",,,,"2","6","Top",,,,,"624431",,,8.167988487496064,-141.14677433823292,-7.53521326500737,-11.666711167080413,31.587289014988286,-11.715888343429157,"3.46","1.65",,,,"97.4","2371","6.5",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.04",,,,,,,,"45","2","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","213","0","-0.021"
"KC","2022-09-07","82.0","-1.82","5.8","Cole, Gerrit",570482,543037,,"ball",,,,,"14","Gio Urshela singles on a line drive to right fielder Oswaldo Cabrera.","R","R","R","NYY","MIN","B",,,"0","0",2022,"0.97","-1.1","1.39","0.52",,,,"2","6","Top",,,,,"624431",,,5.359334105000567,-119.2714914315098,-3.155573703543908,8.01487170780635,26.29300657959051,-42.080975357611024,"3.42","1.63",,,,"81.5","2791","6.3",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.22",,,,,,,,"45","1","Knuckle Curve","4","1","1","4","1","4","1","4","Standard","Standard","32","0","0.016"
"FF","2022-09-07","99.0","-1.94","5.68","Cole, Gerrit",624503,543037,"strikeout","swinging_strike",,,,,"6","Nick Gordon strikes out swinging.","R","L","R","NYY","MIN","S","2",,"1","2",2022,"-1.05","1.58","0.41","2.40",,,,"1","6","Top",,,,,"624431",,,8.824975099219229,-143.80108115533557,-7.165758979905334,-16.59477816925669,33.5758368226398,-8.780930745849526,"3.57","1.7",,,,"98.7","2485","6.2",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.26",,,"0","1","0","0",,"44","4","4-Seam Fastball","4","1","1","4","1","4","1","4","Infield shift","Standard","219","0.014","-0.115"
"CH","2022-09-07","90.2","-1.98","5.54","Cole, Gerrit",624503,543037,,"foul",,,,,"13","Nick Gordon strikes out swinging.","R","L","R","NYY","MIN","S",,,"1","1",2022,"-1.35","0.93","-0.22","1.41",,,,"1","6","Top",,,,,"624431",,,7.287916719021472,-130.98824109501922,-6.250095323137394,-17.14828531110679,29.00888307604533,-20.271530309271416,"3.57","1.7","1","54.0","-46","90.2","1670","6.5",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","53.99",,,,,,,,"44","3","Changeup","4","1","1","4","1","4","1","4","Infield shift","Standard","237","0","-0.036"
"FF","2022-09-07","97.6","-1.82","5.81","Cole, Gerrit",624503,543037,,"ball",,,,,"11","Nick Gordon strikes out swinging.","R","L","R","NYY","MIN","B",,,"0","1",2022,"-0.87","1.55","-0.27","4.34",,,,"1","6","Top",,,,,"624431",,,6.168661253720237,-141.951780224393,-1.9962215715740876,-13.248442710495114,34.44821270618253,-11.025859886074693,"3.61","1.69",,,,"97.2","2416","6.2",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.28",,,,,,,,"44","2","4-Seam Fastball","4","1","1","4","1","4","1","4","Infield shift","Standard","214","0","0.016"
"SL","2022-09-07","88.5","-2.16","5.68","Cole, Gerrit",624503,543037,,"swinging_strike",,,,,"1","Nick Gordon strikes out swinging.","R","L","R","NYY","MIN","S",,,"0","0",2022,"0.49","0.29","-0.35","2.99",,,,"1","6","Top",,,,,"624431",,,3.3815730481376955,-129.02363665845454,-1.1760924704535451,4.891679860699751,24.579772602201327,-28.897890696383097,"3.57","1.7",,,,"88.7","2563","6.1",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.38",,,,,,,,"44","1","Slider","4","1","1","4","1","4","1","4","Infield shift","Standard","137","0","-0.024"
"FF","2022-09-07","98.3","-1.74","5.81","Cole, Gerrit",669304,543037,"field_out","hit_into_play",,,,,"8","Jose Miranda grounds out sharply, shortstop Oswald Peraza to first baseman Marwin Gonzalez.","R","R","R","NYY","MIN","X","6","ground_ball","2","2",2022,"-0.84","1.69","-0.02","1.74",,,,"0","6","Top",101.54,142.96,,,"624431",,,6.639015457863675,-142.63906133895858,-9.41984621133327,-13.080663949040323,37.15110928078597,-7.019321752845337,"3.01","1.46","50","107.2","1","97.9","2376","6.5",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","53.99","0.471","0.424","0","1","0","0","4","43","5","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","214","0.023","-0.194"
"SL","2022-09-07","90.4","-1.87","5.73","Cole, Gerrit",669304,543037,,"ball",,,,,"14","Jose Miranda grounds out sharply, shortstop Oswald Peraza to first baseman Marwin Gonzalez.","R","R","R","NYY","MIN","B",,,"1","2",2022,"0.47","0.11","2.53","1.00",,,,"0","6","Top",,,,,"624431",,,9.936156539374403,-131.10309739459103,-5.987281158792859,3.114821256822736,30.558165733348044,-29.704046013917957,"2.97","1.46",,,,"89.8","2589","6.4",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.14",,,,,,,,"43","4","Slider","4","1","1","4","1","4","1","4","Standard","Standard","120","0","0.036"
"FF","2022-09-07","96.9","-1.9","5.81","Cole, Gerrit",669304,543037,,"swinging_strike",,,,,"13","Jose Miranda grounds out sharply, shortstop Oswald Peraza to first baseman Marwin Gonzalez.","R","R","R","NYY","MIN","S",,,"1","1",2022,"-0.98","1.48","-1.54","2.18",,,,"0","6","Top",,,,,"624431",,,3.2321182152165977,-140.8590275534479,-7.432356973981753,-13.767624941428927,37.8499202534714,-10.954195872640959,"3.01","1.46",,,,"96.3","2433","6.4",661235,543037,"624431","503556","650402","643396","672724","543305","664314","665828","54.08",,,,,,,,"43","3","4-Seam Fastball","4","1","1","4","1","4","1","4","Standard","Standard","214","0","-0.053"
